Date,Open
2017-05-08,149.02999877929688
2017-05-09,153.8699951171875
2017-05-10,153.6300048828125
2017-05-11,152.4499969482422
2017-05-12,154.6999969482422
2017-05-15,156.00999450683594
2017-05-16,155.94000244140625
2017-05-17,153.60000610351562
2017-05-18,151.27000427246094
2017-05-19,153.3800048828125
2017-05-22,154.0
2017-05-23,154.89999389648438
2017-05-24,153.83999633789062
2017-05-25,153.72999572753906
2017-05-26,154.0
2017-05-30,153.4199981689453
2017-05-31,153.97000122070312
2017-06-01,153.1699981689453
2017-06-02,153.5800018310547
2017-06-05,154.33999633789062
2017-06-06,153.89999389648438
2017-06-07,155.02000427246094
2017-06-08,155.25
2017-06-09,155.19000244140625
2017-06-12,145.74000549316406
2017-06-13,147.16000366210938
2017-06-14,147.5
2017-06-15,143.32000732421875
2017-06-16,143.77999877929688
2017-06-19,143.66000366210938
2017-06-20,146.8699951171875
2017-06-21,145.52000427246094
2017-06-22,145.77000427246094
2017-06-23,145.1300048828125
2017-06-26,147.1699981689453
2017-06-27,145.00999450683594
2017-06-28,144.49000549316406
2017-06-29,144.7100067138672
2017-06-30,144.4499969482422
2017-07-03,144.8800048828125
2017-07-05,143.69000244140625
2017-07-06,143.02000427246094
2017-07-07,142.89999389648438
2017-07-10,144.11000061035156
2017-07-11,144.72999572753906
2017-07-12,145.8699951171875
2017-07-13,145.5
2017-07-14,147.97000122070312
2017-07-17,148.82000732421875
2017-07-18,149.1999969482422
2017-07-19,150.47999572753906
2017-07-20,151.5
2017-07-21,149.99000549316406
2017-07-24,150.5800018310547
2017-07-25,151.8000030517578
2017-07-26,153.35000610351562
2017-07-27,153.75
2017-07-28,149.88999938964844
2017-07-31,149.89999389648438
2017-08-01,149.10000610351562
2017-08-02,159.27999877929688
2017-08-03,157.0500030517578
2017-08-04,156.07000732421875
2017-08-07,157.05999755859375
2017-08-08,158.60000610351562
2017-08-09,159.25999450683594
2017-08-10,159.89999389648438
2017-08-11,156.60000610351562
2017-08-14,159.32000732421875
2017-08-15,160.66000366210938
2017-08-16,161.94000244140625
2017-08-17,160.52000427246094
2017-08-18,157.86000061035156
2017-08-21,157.5
2017-08-22,158.22999572753906
2017-08-23,159.07000732421875
2017-08-24,160.42999267578125
2017-08-25,159.64999389648438
2017-08-28,160.13999938964844
2017-08-29,160.10000610351562
2017-08-30,163.8000030517578
2017-08-31,163.63999938964844
2017-09-01,164.8000030517578
2017-09-05,163.75
2017-09-06,162.7100067138672
2017-09-07,162.08999633789062
2017-09-08,160.86000061035156
2017-09-11,160.5
2017-09-12,162.61000061035156
2017-09-13,159.8699951171875
2017-09-14,158.99000549316406
2017-09-15,158.47000122070312
2017-09-18,160.11000061035156
2017-09-19,159.50999450683594
2017-09-20,157.89999389648438
2017-09-21,155.8000030517578
2017-09-22,151.5399932861328
2017-09-25,149.99000549316406
2017-09-26,151.77999877929688
2017-09-27,153.8000030517578
2017-09-28,153.88999938964844
2017-09-29,153.2100067138672
2017-10-02,154.25999450683594
2017-10-03,154.00999450683594
2017-10-04,153.6300048828125
2017-10-05,154.17999267578125
2017-10-06,154.97000122070312
2017-10-09,155.80999755859375
2017-10-10,156.05999755859375
2017-10-11,155.97000122070312
2017-10-12,156.35000610351562
2017-10-13,156.72999572753906
2017-10-16,157.89999389648438
2017-10-17,159.77999877929688
2017-10-18,160.4199981689453
2017-10-19,156.75
2017-10-20,156.61000061035156
2017-10-23,156.88999938964844
2017-10-24,156.2899932861328
2017-10-25,156.91000366210938
2017-10-26,157.22999572753906
2017-10-27,159.2899932861328
2017-10-30,163.88999938964844
2017-10-31,167.89999389648438
2017-11-01,169.8699951171875
2017-11-02,166.60000610351562
2017-11-03,174.0
2017-11-06,172.3699951171875
2017-11-07,173.91000366210938
2017-11-08,174.66000366210938
2017-11-09,175.11000061035156
2017-11-10,175.11000061035156
2017-11-13,173.5
2017-11-14,173.0399932861328
2017-11-15,169.97000122070312
2017-11-16,171.17999267578125
2017-11-17,171.0399932861328
2017-11-20,170.2899932861328
2017-11-21,170.77999877929688
2017-11-22,173.36000061035156
2017-11-24,175.10000610351562
2017-11-27,175.0500030517578
2017-11-28,174.3000030517578
2017-11-29,172.6300048828125
2017-11-30,170.42999267578125
2017-12-01,169.9499969482422
2017-12-04,172.47999572753906
2017-12-05,169.05999755859375
2017-12-06,167.5
2017-12-07,169.02999877929688
2017-12-08,170.49000549316406
2017-12-11,169.1999969482422
2017-12-12,172.14999389648438
2017-12-13,172.5
2017-12-14,172.39999389648438
2017-12-15,173.6300048828125
2017-12-18,174.8800048828125
2017-12-19,175.02999877929688
2017-12-20,174.8699951171875
2017-12-21,174.1699981689453
2017-12-22,174.67999267578125
2017-12-26,170.8000030517578
2017-12-27,170.10000610351562
2017-12-28,171.0
2017-12-29,170.52000427246094
2018-01-02,170.16000366210938
2018-01-03,172.52999877929688
2018-01-04,172.5399932861328
2018-01-05,173.44000244140625
2018-01-08,174.35000610351562
2018-01-09,174.5500030517578
2018-01-10,173.16000366210938
2018-01-11,174.58999633789062
2018-01-12,176.17999267578125
2018-01-16,177.89999389648438
2018-01-17,176.14999389648438
2018-01-18,179.3699951171875
2018-01-19,178.61000061035156
2018-01-22,177.3000030517578
2018-01-23,177.3000030517578
2018-01-24,177.25
2018-01-25,174.50999450683594
2018-01-26,172.0
2018-01-29,170.16000366210938
2018-01-30,165.52999877929688
2018-01-31,166.8699951171875
2018-02-01,167.1699981689453
2018-02-02,166.0
2018-02-05,159.10000610351562
2018-02-06,154.8300018310547
2018-02-07,163.08999633789062
